Brand,Name,Price,Link,Image
OVS ,Đầm Nữ,1.299.000,https://www.acfc.com.vn/ovs-dam-nu-ovs-1322648-1322648.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/1/11824828_b3igcmt8rnwf55tx.jpg
COTTON ON BODY ,Áo Thun Thể Thao Nữ - Active Cross Front Tshirt,195.000,https://www.acfc.com.vn/body-ao-thun-the-thao-nu-active-cross-front-tshirt-coc-6333266-03.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6333266-03-2_n9fm0h4kwpim4mlp.jpg
PARFOIS ,Đầm Lateral,1.190.000,https://www.acfc.com.vn/parfois-dam-lateral-parfoi-185412-pks-m-pk.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/8/185412_pk_2yf_1_1.jpg
BANANA REPUBLIC ,Áo Sơ Mi Nữ Tay Dài,1.950.000,https://www.acfc.com.vn/banana-republic-ao-kieu-nu-tay-dai-br-746053-05.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/4/746053-05-1_1.jpg
COTTON ON ,Váy Vải Dài Maxi Nữ-Charlie Shirred Maxi Skirt,495.000,https://www.acfc.com.vn/cotton-on-vay-vai-dai-maxi-nu-charlie-shirred-maxi-skirt-coc-2054410-08.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/0/2054410-08-2_c0fbqhchduwobtao.jpg
OVS ,Quần Dài Nữ,799.000,https://www.acfc.com.vn/ovs-quan-dai-nu-ovs-1189214-1189214.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/1/11652564_smjtpl23mjbkpot1.jpg
TOMMY HILFIGER ,Đầm Nữ Org Co F&F Open Polo-Nk Dress Ls,4.799.000,https://www.acfc.com.vn/tommy-hilfiger-dam-nu-org-co-f-f-open-polo-nk-dress-ls-tommy-ww0ww32685-dw5.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/w/w/ww0ww32685_dw5_main__main__coctwv0cr5pv0hpd.jpg
TOMMY JEANS ,Đầm Nữ Tjw College Splicing Tee Dress,2.299.000,https://www.acfc.com.vn/tommy-jeans-dam-nu-tjw-college-splicing-tee-dress-thj-dw0dw12960-acm.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/d/w/dw0dw12960_acm_main__main__27cu3mtslbkwq7vu.jpg
TOMMY JEANS ,Đồ Bơi Nữ Triangle One-Piece Rp,2.599.000,https://www.acfc.com.vn/tommy-jeans-do-boi-nu-triangle-one-piece-rp-thj-uw0uw03706-dw5.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/u/w/uw0uw03706_dw5_main__main__ck0qqafk7ehk9wej.jpg
GAP ,Áo Thun Tay Ngắn Nữ,299.000,https://www.acfc.com.vn/ao-thun-tay-ngan-nu-gap-647617-00.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/4/647617-00-1_vbl9piedyt6vebta.jpg
